[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	10	Lambda:	0	Minibatch size:	256	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	100	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	100	
Set up model	
Got params and grads	
Starting Validation accuracy	0.024482580723477	
L1 norm of params:	1076469.5302778	
Epoch 1 Validation accuracy:	0.61987132799223	
L1 norm of params:	1151390.9602421	
Epoch 2 Validation accuracy:	0.68713583394028	
L1 norm of params:	1161909.4390737	
Epoch 3 Validation accuracy:	0.74799708667152	
L1 norm of params:	1167988.8082167	
Epoch 4 Validation accuracy:	0.74103241077932	
L1 norm of params:	1172682.2911413	
Epoch 5 Validation accuracy:	0.74296704297159	
L1 norm of params:	1176927.0309087	
Epoch 6 Validation accuracy:	0.74151796552561	
L1 norm of params:	1180174.9228747	
Epoch 7 Validation accuracy:	0.78150036416606	
L1 norm of params:	1183331.9080393	
Epoch 8 Validation accuracy:	0.79821406894877	
L1 norm of params:	1186117.7149686	
Epoch 9 Validation accuracy:	0.78965616654528	
L1 norm of params:	1188400.8032151	
Epoch 10 Validation accuracy:	0.80602087885409	
L1 norm of params:	1190705.6865977	
Epoch 11 Validation accuracy:	0.78015750182083	
L1 norm of params:	1192890.9453874	
Epoch 12 Validation accuracy:	0.80218196164118	
L1 norm of params:	1195065.1256081	
Epoch 13 Validation accuracy:	0.80492838067492	
L1 norm of params:	1196574.0808917	
Epoch 14 Validation accuracy:	0.81697620781743	
L1 norm of params:	1198264.539349	
Epoch 15 Validation accuracy:	0.8198060815732	
L1 norm of params:	1199850.2654438	
Epoch 16 Validation accuracy:	0.82348567613498	
L1 norm of params:	1201480.3347647	
Epoch 17 Validation accuracy:	0.75497693614955	
L1 norm of params:	1202553.3702568	
Epoch 18 Validation accuracy:	0.79854030104394	
L1 norm of params:	1203772.5212977	
Epoch 19 Validation accuracy:	0.82316703083273	
L1 norm of params:	1205420.7423279	
Epoch 20 Validation accuracy:	0.77362527312454	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	10	Lambda:	0	Minibatch size:	256	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	100	Embedding size:	50	
0.77362527312454	
