[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	512	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	200	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	200	
Set up model	
Got params and grads	
Starting Validation accuracy	0.032532168001942	
L1 norm of params:	1077373.7464792	
Epoch 1 Validation accuracy:	0.83030620296188	
L1 norm of params:	1078235.7967351	
Epoch 2 Validation accuracy:	0.85788419519301	
L1 norm of params:	1078544.3086918	
Epoch 3 Validation accuracy:	0.87882374362709	
L1 norm of params:	1078775.9602666	
Epoch 4 Validation accuracy:	0.8936559237679	
L1 norm of params:	1078969.8889529	
Epoch 5 Validation accuracy:	0.90437606215101	
L1 norm of params:	1079135.3486835	
Epoch 6 Validation accuracy:	0.91058964554504	
L1 norm of params:	1079278.4168356	
Epoch 7 Validation accuracy:	0.915786598689	
L1 norm of params:	1079404.2166904	
Epoch 8 Validation accuracy:	0.91935997815004	
L1 norm of params:	1079516.6319805	
Epoch 9 Validation accuracy:	0.92281955571741	
L1 norm of params:	1079619.1178116	
Epoch 10 Validation accuracy:	0.92536113134256	
L1 norm of params:	1079712.6495103	
Epoch 11 Validation accuracy:	0.92759923525127	
L1 norm of params:	1079799.6214835	
Epoch 12 Validation accuracy:	0.92933661082787	
L1 norm of params:	1079880.9030834	
Epoch 13 Validation accuracy:	0.93092225054625	
L1 norm of params:	1079956.757048	
Epoch 14 Validation accuracy:	0.93230304685603	
L1 norm of params:	1080027.9189151	
Epoch 15 Validation accuracy:	0.93370660354455	
L1 norm of params:	1080095.2230813	
Epoch 16 Validation accuracy:	0.9347156470017	
L1 norm of params:	1080158.7405241	
Epoch 17 Validation accuracy:	0.93558054139354	
L1 norm of params:	1080219.4287974	
Epoch 18 Validation accuracy:	0.93646060937121	
L1 norm of params:	1080277.3952112	
Epoch 19 Validation accuracy:	0.9374317188638	
L1 norm of params:	1080332.7860421	
Epoch 20 Validation accuracy:	0.93819039815489	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	512	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	200	Embedding size:	50	
0.93819039815489	
