[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/2014-vocab-40000/PTB_3.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	256	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	200	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	200	
Set up model	
Got params and grads	
Starting Validation accuracy	0.020939548434086	
L1 norm of params:	1077361.2566845	
Epoch 1 Validation accuracy:	0.72240683418305	
L1 norm of params:	1243423.7130592	
Epoch 2 Validation accuracy:	0.74620660354455	
L1 norm of params:	1309257.6153332	
Epoch 3 Validation accuracy:	0.72713340616655	
L1 norm of params:	1354265.1192225	
Epoch 4 Validation accuracy:	0.7702567370721	
L1 norm of params:	1397433.0874198	
Epoch 5 Validation accuracy:	0.76977118232581	
L1 norm of params:	1435522.0886055	
Epoch 6 Validation accuracy:	0.75505280407866	
L1 norm of params:	1467918.9676855	
Epoch 7 Validation accuracy:	0.76386107064822	
L1 norm of params:	1498041.6201374	
Epoch 8 Validation accuracy:	0.76947529740228	
L1 norm of params:	1526338.6391949	
Epoch 9 Validation accuracy:	0.76129673464433	
L1 norm of params:	1553283.5470082	
Epoch 10 Validation accuracy:	0.77815458849235	
L1 norm of params:	1579340.934685	
Epoch 11 Validation accuracy:	0.76788207089099	
L1 norm of params:	1601789.1531353	
Epoch 12 Validation accuracy:	0.78377640203933	
L1 norm of params:	1625012.9045516	
Epoch 13 Validation accuracy:	0.75399065307113	
L1 norm of params:	1645166.0527124	
Epoch 14 Validation accuracy:	0.77445223355183	
L1 norm of params:	1662220.6622735	
Epoch 15 Validation accuracy:	0.78335912842923	
L1 norm of params:	1681499.2834085	
Epoch 16 Validation accuracy:	0.78001335275552	
L1 norm of params:	1699354.8233834	
Epoch 17 Validation accuracy:	0.7880705268269	
L1 norm of params:	1718653.1969265	
Epoch 18 Validation accuracy:	0.76866351056082	
L1 norm of params:	1737084.1145024	
Epoch 19 Validation accuracy:	0.76928562757951	
L1 norm of params:	1753882.8609517	
Epoch 20 Validation accuracy:	0.77139475600874	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/2014-vocab-40000/PTB_3.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	256	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	200	Embedding size:	50	
0.77139475600874	
