[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	10	Lambda:	0	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.022123088128186	
L1 norm of params:	4311762.9190691	
Epoch 1 Validation accuracy:	0.85615440640932	
L1 norm of params:	9019360.0708139	
Epoch 2 Validation accuracy:	0.86356670308327	
L1 norm of params:	11334568.640914	
Epoch 3 Validation accuracy:	0.85464463462005	
L1 norm of params:	13195436.179972	
Epoch 4 Validation accuracy:	0.86756494294732	
L1 norm of params:	14829943.289363	
Epoch 5 Validation accuracy:	0.87825473415878	
L1 norm of params:	16284265.523332	
Epoch 6 Validation accuracy:	0.88263990046128	
L1 norm of params:	17620673.034281	
Epoch 7 Validation accuracy:	0.88381585336247	
L1 norm of params:	18871385.652678	
Epoch 8 Validation accuracy:	0.88011349842195	
L1 norm of params:	20015203.058684	
Epoch 9 Validation accuracy:	0.88121358339403	
L1 norm of params:	21120867.075434	
Epoch 10 Validation accuracy:	0.87325503763049	
L1 norm of params:	22174263.135965	
Epoch 11 Validation accuracy:	0.88093287205632	
L1 norm of params:	23176294.419827	
Epoch 12 Validation accuracy:	0.87928653799466	
L1 norm of params:	24146045.92326	
