[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	250	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.026075807234766	
L1 norm of params:	4307513.7246177	
Epoch 1 Validation accuracy:	0.49717012624423	
L1 norm of params:	4307300.1598123	
Epoch 2 Validation accuracy:	0.56353939062879	
L1 norm of params:	4307119.600824	
Epoch 3 Validation accuracy:	0.60082089099296	
L1 norm of params:	4306964.2456957	
Epoch 4 Validation accuracy:	0.62582696042729	
L1 norm of params:	4306829.7505997	
Epoch 5 Validation accuracy:	0.64492291818403	
L1 norm of params:	4306713.386613	
Epoch 6 Validation accuracy:	0.66080966253945	
L1 norm of params:	4306607.299065	
Epoch 7 Validation accuracy:	0.67395757465404	
L1 norm of params:	4306508.9316775	
Epoch 8 Validation accuracy:	0.68564123573683	
L1 norm of params:	4306416.1766119	
Epoch 9 Validation accuracy:	0.69523094197621	
L1 norm of params:	4306328.9813709	
Epoch 10 Validation accuracy:	0.70286325564457	
L1 norm of params:	4306246.4097635	
Epoch 11 Validation accuracy:	0.71028313911143	
L1 norm of params:	4306167.4878918	
Epoch 12 Validation accuracy:	0.71658017722748	
L1 norm of params:	4306092.7558244	
Epoch 13 Validation accuracy:	0.72212612284535	
L1 norm of params:	4306021.7080964	
Epoch 14 Validation accuracy:	0.72721686088857	
L1 norm of params:	4305953.7931071	
Epoch 15 Validation accuracy:	0.73205723476572	
L1 norm of params:	4305887.8374797	
Epoch 16 Validation accuracy:	0.73685208788541	
L1 norm of params:	4305824.0149043	
