[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnfig1	Alpha:	0	Eta:	1	Lambda:	0	Minibatch size:	512	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	200	Embedding size:	200	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model	
forward test	
{
  1 : DoubleTensor - size: 2x200
  2 : DoubleTensor - size: 2x200
}
Set up model	
Got params and grads	
Starting Validation accuracy	0.032061786841466	
L1 norm of params:	6385807.4380234	
Epoch 1 Validation accuracy:	0.90258557902403	
L1 norm of params:	6390050.9996647	
Epoch 2 Validation accuracy:	0.91855577810148	
L1 norm of params:	6391905.0429276	
Epoch 3 Validation accuracy:	0.92333545763535	
L1 norm of params:	6393297.9123274	
Epoch 4 Validation accuracy:	0.9267115804807	
L1 norm of params:	6394460.0085606	
Epoch 5 Validation accuracy:	0.92853241077932	
L1 norm of params:	6395468.2016245	
Epoch 6 Validation accuracy:	0.92989803350328	
L1 norm of params:	6396373.8662527	
Epoch 7 Validation accuracy:	0.93055049769361	
L1 norm of params:	6397199.3981348	
Epoch 8 Validation accuracy:	0.93136228453508	
L1 norm of params:	6397960.0623476	
Epoch 9 Validation accuracy:	0.93119537509104	
L1 norm of params:	6398659.4135111	
Epoch 10 Validation accuracy:	0.93114985433358	
L1 norm of params:	6399321.8820936	
Epoch 11 Validation accuracy:	0.93211337703326	
L1 norm of params:	6399929.776505	
Epoch 12 Validation accuracy:	0.93169610342316	
L1 norm of params:	6400491.7202239	
Epoch 13 Validation accuracy:	0.93219683175528	
L1 norm of params:	6401024.0198359	
Epoch 14 Validation accuracy:	0.93205268268997	
L1 norm of params:	6401525.457326	
Epoch 15 Validation accuracy:	0.93210579024035	
L1 norm of params:	6401998.3031672	
Epoch 16 Validation accuracy:	0.93182507890265	
L1 norm of params:	6402438.6496916	
Epoch 17 Validation accuracy:	0.93167334304443	
L1 norm of params:	6402856.3930303	
Epoch 18 Validation accuracy:	0.93171127700898	
L1 norm of params:	6403253.173953	
Epoch 19 Validation accuracy:	0.93212855061908	
L1 norm of params:	6403622.0796918	
Epoch 20 Validation accuracy:	0.93189336003884	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnfig1	Alpha:	0	Eta:	1	Lambda:	0	Minibatch size:	512	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	200	Embedding size:	200	
0.93189336003884	
