[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	100	Lambda:	0	Minibatch size:	256	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	10	
Set up model	
Got params and grads	
Starting Validation accuracy	0.018625576596261	
L1 norm of params:	1075597.9824787	
Epoch 1 Validation accuracy:	0.10613164603059	
L1 norm of params:	10037799.95138	
Epoch 2 Validation accuracy:	0.17291818402525	
L1 norm of params:	13504385.042115	
Epoch 3 Validation accuracy:	0.17640810876426	
L1 norm of params:	17496533.613048	
Epoch 4 Validation accuracy:	0.10710275552319	
L1 norm of params:	20108244.308963	
Epoch 5 Validation accuracy:	0.12064518086914	
L1 norm of params:	21171920.63793	
Epoch 6 Validation accuracy:	0.13389172129158	
L1 norm of params:	21291613.979874	
Epoch 7 Validation accuracy:	0.090275248846807	
L1 norm of params:	22282928.803897	
Epoch 8 Validation accuracy:	0.14307174071377	
L1 norm of params:	22720348.317801	
Epoch 9 Validation accuracy:	0.10575989317796	
L1 norm of params:	22727335.674684	
Epoch 10 Validation accuracy:	0.12561453022578	
L1 norm of params:	22772101.366958	
Epoch 11 Validation accuracy:	0.14311726147123	
L1 norm of params:	23012195.81629	
Epoch 12 Validation accuracy:	0.10244446467589	
L1 norm of params:	23260220.044042	
Epoch 13 Validation accuracy:	0.13097080602088	
L1 norm of params:	23575240.986462	
Epoch 14 Validation accuracy:	0.13612223840738	
L1 norm of params:	23575109.965355	
Epoch 15 Validation accuracy:	0.11541788055353	
L1 norm of params:	23575164.85916	
Epoch 16 Validation accuracy:	0.11113134255887	
L1 norm of params:	23575258.586143	
Epoch 17 Validation accuracy:	0.12996934935664	
L1 norm of params:	23575403.110703	
Epoch 18 Validation accuracy:	0.14064396698228	
L1 norm of params:	23575279.062732	
Epoch 19 Validation accuracy:	0.11801256372906	
L1 norm of params:	23575359.233915	
Epoch 20 Validation accuracy:	0.15326839038602	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	100	Lambda:	0	Minibatch size:	256	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	10	Embedding size:	50	
0.15326839038602	
