[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	10	Lambda:	0.001	Minibatch size:	250	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.030278890507405	
L1 norm of params:	4307500.9009644	
Epoch 1 Validation accuracy:	0.83438031075504	
L1 norm of params:	4303877.2692447	
Epoch 2 Validation accuracy:	0.86260318038359	
L1 norm of params:	4303260.2083934	
Epoch 3 Validation accuracy:	0.87584972080602	
L1 norm of params:	4303284.7359091	
Epoch 4 Validation accuracy:	0.8846048798252	
L1 norm of params:	4303644.7018758	
Epoch 5 Validation accuracy:	0.89002943675649	
L1 norm of params:	4304245.3504473	
Epoch 6 Validation accuracy:	0.89426286720078	
L1 norm of params:	4305010.9964601	
Epoch 7 Validation accuracy:	0.89725965040058	
L1 norm of params:	4305898.1173093	
Epoch 8 Validation accuracy:	0.89992261471231	
L1 norm of params:	4306874.6335462	
Epoch 9 Validation accuracy:	0.90191035445496	
L1 norm of params:	4307912.5724719	
Epoch 10 Validation accuracy:	0.90380705268269	
L1 norm of params:	4308994.1426412	
Epoch 11 Validation accuracy:	0.90531682447196	
L1 norm of params:	4310119.6332083	
Epoch 12 Validation accuracy:	0.90669003398883	
L1 norm of params:	4311278.0519624	
Epoch 13 Validation accuracy:	0.90788116047584	
L1 norm of params:	4312465.3367918	
