[?1034hdatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW4/PTB.hdf5	classifier:	rnn	window_size:	2	b:	128	alpha:	1	sequence_length:	32	embedding_size:	55	optimizer:	sgd	epochs:	100	hidden	100	eta:	0.001	hacks	false	
 498944
[torch.LongStorage of size 1]

 498944
[torch.LongStorage of size 1]

 95823
[torch.LongStorage of size 1]

RNN	
Beginning epoch	1	
    	21.555430523979	
Beginning epoch	2	
    	16.49218186961	
Beginning epoch	3	
    	15.938516013802	
Beginning epoch	4	
    	15.648938434886	
Beginning epoch	5	
    	15.362994631099	
Beginning epoch	6	
    	15.078738810602	
Beginning epoch	7	
    	14.804330588498	
Beginning epoch	8	
    	14.547018313251	
Beginning epoch	9	
    	14.310419685691	
Beginning epoch	10	
    	14.094954379299	
