[?1034hdatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW4/PTB.hdf5	classifier:	rnn	window_size:	2	b:	64	alpha:	1	sequence_length:	10	embedding_size:	25	optimizer:	adagrad	epochs:	100	hidden	100	eta:	0.005	hacks	true	
 498944
[torch.LongStorage of size 1]

 498944
[torch.LongStorage of size 1]

 95823
[torch.LongStorage of size 1]

RNN	
Beginning epoch	1	
    	6.9014205136286	
Beginning epoch	2	
    	3.5919798722619	
Beginning epoch	3	
    	3.3494981838523	
Beginning epoch	4	
    	3.3535020489102	
Beginning epoch	5	
    	3.283413742856	
Beginning epoch	6	
    	3.2842789595664	
Beginning epoch	7	
    	3.3267007595376	
Beginning epoch	8	
    	3.4221452514423	
Beginning epoch	9	
    	3.4085845191844	
Beginning epoch	10	
    	3.3601212932504	
Beginning epoch	11	
    	3.2534837734111	
Beginning epoch	12	
    	3.2679093372139	
Beginning epoch	13	
    	3.2591721102432	
Beginning epoch	14	
    	3.2098130195213	
Beginning epoch	15	
    	3.1809029948406	
Beginning epoch	16	
    	3.2122792558569	
Beginning epoch	17	
    	3.2103681802979	
Beginning epoch	18	
    	3.239951602148	
Beginning epoch	19	
    	3.2090123260272	
Beginning epoch	20	
    	3.3771554919437	
Beginning epoch	21	
    	3.1693166505879	
Beginning epoch	22	
    	3.0700354056669	
Beginning epoch	23	
    	3.2258925182839	
Beginning epoch	24	
    	3.1686509522385	
Beginning epoch	25	
    	3.1794260274044	
Beginning epoch	26	
    	3.2516803912422	
Beginning epoch	27	
    	3.1903462896339	
Beginning epoch	28	
    	3.2871747849002	
Beginning epoch	29	
    	3.3395538070531	
Beginning epoch	30	
    	3.2794339887509	
Beginning epoch	31	
    	3.116920132784	
Beginning epoch	32	
    	3.2662419055478	
Beginning epoch	33	
    	3.3100753342258	
Beginning epoch	34	
    	3.1244449305392	
Beginning epoch	35	
    	3.2805375470412	
Beginning epoch	36	
    	3.1961044159261	
Beginning epoch	37	
    	3.0972307395024	
Beginning epoch	38	
    	3.0885614283992	
Beginning epoch	39	
    	3.0814992232422	
Beginning epoch	40	
    	3.2524799553183	
Beginning epoch	41	
    	3.2177479616567	
Beginning epoch	42	
    	3.1682192609299	
Beginning epoch	43	
    	3.1742178891067	
Beginning epoch	44	
    	3.0806280303108	
Beginning epoch	45	
    	3.1798316752318	
Beginning epoch	46	
    	3.2312506841482	
Beginning epoch	47	
    	3.1067207719688	
Beginning epoch	48	
    	3.2157649829943	
Beginning epoch	49	
    	3.3856975154287	
Beginning epoch	50	
    	3.3001438127326	
Beginning epoch	51	
    	3.3534871703432	
Beginning epoch	52	
    	3.3208592359058	
Beginning epoch	53	
    	3.2724388792304	
Beginning epoch	54	
    	3.1219732521916	
Beginning epoch	55	
    	3.2190208502528	
Beginning epoch	56	
    	3.2067308362228	
Beginning epoch	57	
    	3.3019654671445	
Beginning epoch	58	
    	3.399927358091	
Beginning epoch	59	
    	3.2371684670332	
Beginning epoch	60	
    	3.211355601607	
Beginning epoch	61	
    	3.143581106718	
Beginning epoch	62	
    	3.1068681932381	
Beginning epoch	63	
    	3.1205073127911	
Beginning epoch	64	
    	3.2465906516716	
Beginning epoch	65	
    	3.0431941987593	
Beginning epoch	66	
    	3.1254027551365	
Beginning epoch	67	
    	3.1518952714706	
Beginning epoch	68	
    	3.0900018818337	
Beginning epoch	69	
    	3.045864134401	
