[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/2014-vocab-400000/PTB_3.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	1	Lambda:	0	Minibatch size:	512	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	100	Embedding size:	50	
nclasses:	45	nsparsefeatures:	400002	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	100	
Set up model	
Got params and grads	
Starting Validation accuracy	0.021205086185967	
L1 norm of params:	10085502.525261	
Epoch 1 Validation accuracy:	0.92617291818403	
L1 norm of params:	10087965.349977	
Epoch 2 Validation accuracy:	0.94287903617383	
L1 norm of params:	10088165.996328	
Epoch 3 Validation accuracy:	0.94891053653799	
L1 norm of params:	10088310.5308	
Epoch 4 Validation accuracy:	0.95240046127701	
L1 norm of params:	10088437.205784	
Epoch 5 Validation accuracy:	0.95384953872299	
L1 norm of params:	10088554.233764	
Epoch 6 Validation accuracy:	0.95586762563729	
L1 norm of params:	10088664.162185	
Epoch 7 Validation accuracy:	0.95705116533139	
L1 norm of params:	10088769.259381	
Epoch 8 Validation accuracy:	0.95805262199563	
L1 norm of params:	10088870.472646	
Epoch 9 Validation accuracy:	0.9588644088371	
L1 norm of params:	10088968.381477	
Epoch 10 Validation accuracy:	0.95971412964312	
L1 norm of params:	10089063.720073	
Epoch 11 Validation accuracy:	0.95991897305171	
L1 norm of params:	10089155.001125	
Epoch 12 Validation accuracy:	0.96038176741928	
L1 norm of params:	10089244.28693	
Epoch 13 Validation accuracy:	0.96047280893421	
L1 norm of params:	10089334.503586	
Epoch 14 Validation accuracy:	0.96049556931294	
L1 norm of params:	10089423.486684	
Epoch 15 Validation accuracy:	0.960745933479	
L1 norm of params:	10089512.105053	
Epoch 16 Validation accuracy:	0.96083697499393	
L1 norm of params:	10089600.143219	
Epoch 17 Validation accuracy:	0.96106457878126	
L1 norm of params:	10089688.113294	
Epoch 18 Validation accuracy:	0.96092042971595	
L1 norm of params:	10089774.046704	
Epoch 19 Validation accuracy:	0.96126183539694	
L1 norm of params:	10089859.119873	
Epoch 20 Validation accuracy:	0.96115562029619	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/2014-vocab-400000/PTB_3.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	1	Lambda:	0	Minibatch size:	512	Num Epochs:	20	Optimizer:	sgd	Hidden Layers:	100	Embedding size:	50	
0.96115562029619	
